epd,move,eval,depth,pv,engine
r2qkb1r/1b1n1ppp/p3pn2/1pp5/3PP3/2NB1N2/PP3PPP/R1BQ1RK1 w kq -,e4e5,0,40,e4e5 f6d5 f3g5 f8e7 d1h5 g7g6 h5h6,Stockfish 050822
r2qkb1r/1b1n1ppp/p3pn2/1pp5/3PP3/2NB1N2/PP3PPP/R1BQ1RK1 w kq -,d4d5,0,40,d4d5 d8c7 d1e2 c5c4 d3c2 f8d6 f1e1,Stockfish 050822
r2qkb1r/1b1n1ppp/p3pn2/1pp5/3PP3/2NB1N2/PP3PPP/R1BQ1RK1 w kq -,c1e3,-47,40,c1e3 c5d4 e3d4 f8c5 d4f6 d8f6 c3b5,Stockfish 050822
r2qkb1r/1b1n1ppp/p3pn2/1pp5/3PP3/2NB1N2/PP3PPP/R1BQ1RK1 w kq -,d1e2,-56,40,d1e2 c5d4 f3d4 f8d6 f1d1 e8g8 h2h3,Stockfish 050822
r2qkb1r/1b1n1ppp/p3pn2/1pp5/3PP3/2NB1N2/PP3PPP/R1BQ1RK1 w kq -,h2h3,-59,40,h2h3 c5d4 f3d4 f8d6 d4b3 d6b8 a2a3,Stockfish 050822
r2qkb1r/1b1n1ppp/p3pn2/1pp5/3PP3/2NB1N2/PP3PPP/R1BQ1RK1 w kq -,a2a3,-59,40,a2a3 c5d4 f3d4 f8d6 c1e3 d7e5 d3e2,Stockfish 050822
r2qkb1r/1b1n1ppp/p3pn2/1pp5/3PP3/2NB1N2/PP3PPP/R1BQ1RK1 w kq -,d3c2,-81,40,d3c2 c5d4 d1d4 f8c5 d4d3 d8c7 a2a3,Stockfish 050822
r2qkb1r/1b1n1ppp/p3pn2/1pp5/3PP3/2NB1N2/PP3PPP/R1BQ1RK1 w kq -,d4c5,-83,40,d4c5 d7c5 d3c2 d8d1 f1d1 f6e4 c3e4,Stockfish 050822
r2qkb1r/1b1n1ppp/p3pn2/1pp5/3PP3/2NB1N2/PP3PPP/R1BQ1RK1 w kq -,f1e1,-94,40,f1e1 c5d4 f3d4 f8d6 d4f3 d7e5 f3e5,Stockfish 050822
r2qkb1r/1b1n1ppp/p3pn2/1pp5/3PP3/2NB1N2/PP3PPP/R1BQ1RK1 w kq -,c1g5,-101,40,c1g5 c5d4 f3d4 f8e7 d1e2 h7h6 g5e3,Stockfish 050822
r2b2k1/2pr4/1pn1b1qp/3Np1p1/p1P1p3/1P2B1P1/PQ2PP1P/R2R2NK b - -,a4a3,380,40,a4a3 b2b1 e6f5 b3b4 g6e6 b4b5 c6d4,Stockfish 050822
r2b2k1/2pr4/1pn1b1qp/3Np1p1/p1P1p3/1P2B1P1/PQ2PP1P/R2R2NK b - -,c6d4,338,40,c6d4 b2b1 e6f5 b3a4 a8a5 h2h3 g6e6,Stockfish 050822
r2b2k1/2pr4/1pn1b1qp/3Np1p1/p1P1p3/1P2B1P1/PQ2PP1P/R2R2NK b - -,g5g4,288,40,g5g4 b3a4 h6h5 b2b5 e6f5 c4c5 b6c5,Stockfish 050822
r2b2k1/2pr4/1pn1b1qp/3Np1p1/p1P1p3/1P2B1P1/PQ2PP1P/R2R2NK b - -,h6h5,285,40,h6h5 b3a4 g5g4 b2b5 e6f5 c4c5 b6c5,Stockfish 050822
r2b2k1/2pr4/1pn1b1qp/3Np1p1/p1P1p3/1P2B1P1/PQ2PP1P/R2R2NK b - -,g6f7,233,40,g6f7 d5c3 c6d4 c3a4 g5g4 a4c3 h6h5,Stockfish 050822
r2b2k1/2pr4/1pn1b1qp/3Np1p1/p1P1p3/1P2B1P1/PQ2PP1P/R2R2NK b - -,a8a5,196,40,a8a5 b3a4 c6d4 a1b1 e6d5 c4d5 d8f6,Stockfish 050822
r2b2k1/2pr4/1pn1b1qp/3Np1p1/p1P1p3/1P2B1P1/PQ2PP1P/R2R2NK b - -,d8e7,195,40,d8e7 d5e7 d7e7 d1d2 e7f7 b2c3 g6f6,Stockfish 050822
r2b2k1/2pr4/1pn1b1qp/3Np1p1/p1P1p3/1P2B1P1/PQ2PP1P/R2R2NK b - -,a8a7,192,40,a8a7 b3a4 g6f7 a1c1 c6a5 d5c3 a5c4,Stockfish 050822
r2b2k1/2pr4/1pn1b1qp/3Np1p1/p1P1p3/1P2B1P1/PQ2PP1P/R2R2NK b - -,g8h7,184,40,g8h7 a1c1 a4a3 b2a1 d8e7 a1b1 a8f8,Stockfish 050822
r2b2k1/2pr4/1pn1b1qp/3Np1p1/p1P1p3/1P2B1P1/PQ2PP1P/R2R2NK b - -,g8f7,171,40,g8f7 a1c1 a4a3 b2b1 c6d4 f2f4 e4f3,Stockfish 050822
r3r2k/6p1/q3pp1p/1b1pn2P/3Q2B1/1P6/1BP2PP1/1K1RR3 b - -,e5g4,376,40,e5g4 d4g4 e8c8 e1e3 c8c5 e3g3 c5c7,Stockfish 050822
r3r2k/6p1/q3pp1p/1b1pn2P/3Q2B1/1P6/1BP2PP1/1K1RR3 b - -,a6a2,172,40,a6a2 b1c1 e5g4 d4g4 e8c8 e1e3 c8c5,Stockfish 050822
r3r2k/6p1/q3pp1p/1b1pn2P/3Q2B1/1P6/1BP2PP1/1K1RR3 b - -,e8c8,3,40,e8c8 e1e5 a6a2 b1c1 a2b3 d1d2 a8a4,Stockfish 050822
r3r2k/6p1/q3pp1p/1b1pn2P/3Q2B1/1P6/1BP2PP1/1K1RR3 b - -,e5c4,0,40,e5c4 b3c4 e6e5 d4d5 b5c4 d5d6 a6b7,Stockfish 050822
r3r2k/6p1/q3pp1p/1b1pn2P/3Q2B1/1P6/1BP2PP1/1K1RR3 b - -,e5c6,0,40,e5c6 d4c5 c6a5 e1e6 e8e6 g4e6 b5e2,Stockfish 050822
r3r2k/6p1/q3pp1p/1b1pn2P/3Q2B1/1P6/1BP2PP1/1K1RR3 b - -,e5f7,0,40,e5f7 f2f4 b5d7 f4f5 e6f5 e1e8 a8e8,Stockfish 050822
r3r2k/6p1/q3pp1p/1b1pn2P/3Q2B1/1P6/1BP2PP1/1K1RR3 b - -,b5c4,0,40,b5c4 e1e5 c4b3 e5e3 e8c8 d1d2 b3c2,Stockfish 050822
r3r2k/6p1/q3pp1p/1b1pn2P/3Q2B1/1P6/1BP2PP1/1K1RR3 b - -,e5d7,-28,40,e5d7 f2f4 d7b8 e1e3 b5d7 g4e2 a6a2,Stockfish 050822
r3r2k/6p1/q3pp1p/1b1pn2P/3Q2B1/1P6/1BP2PP1/1K1RR3 b - -,e8e7,-193,40,e8e7 e1e5 f6e5 d4e5 a8d8 e5f4 h8g8,Stockfish 050822
r3r2k/6p1/q3pp1p/1b1pn2P/3Q2B1/1P6/1BP2PP1/1K1RR3 b - -,a8a7,-193,40,a8a7 e1e5 f6e5 d4e5 e8c8 d1d2 c8e8,Stockfish 050822
1r4k1/3b2pp/4p3/2bpq3/3N4/2PB4/P4QPP/5RK1 w - -,f2f7,0,40,f2f7 g8h8 g1h1 b8d8 a2a4 g7g6 g2g3,Stockfish 050822
1r4k1/3b2pp/4p3/2bpq3/3N4/2PB4/P4QPP/5RK1 w - -,f2c2,-55,40,f2c2 e5h5 g1h1 c5d6 d4f3 e6e5 c2d2,Stockfish 050822
1r4k1/3b2pp/4p3/2bpq3/3N4/2PB4/P4QPP/5RK1 w - -,f1e1,-93,40,f1e1 e5f6 f2e3 b8e8 e1f1 f6e7 e3f3,Stockfish 050822
1r4k1/3b2pp/4p3/2bpq3/3N4/2PB4/P4QPP/5RK1 w - -,g2g3,-106,40,g2g3 b8f8 f2d2 c5d4 c3d4 e5d4 g1g2,Stockfish 050822
1r4k1/3b2pp/4p3/2bpq3/3N4/2PB4/P4QPP/5RK1 w - -,g1h1,-129,40,g1h1 b8f8 f2c2 f8f1 d3f1 e5e1 c2d3,Stockfish 050822
1r4k1/3b2pp/4p3/2bpq3/3N4/2PB4/P4QPP/5RK1 w - -,h2h3,-151,40,h2h3 b8f8 f2d2 f8f1 g1f1 c5b6 d2b2,Stockfish 050822
1r4k1/3b2pp/4p3/2bpq3/3N4/2PB4/P4QPP/5RK1 w - -,f2d2,-362,40,f2d2 c5d4 c3d4 e5d4 g1h1 b8f8 d2c2,Stockfish 050822
1r4k1/3b2pp/4p3/2bpq3/3N4/2PB4/P4QPP/5RK1 w - -,d3c2,-417,40,d3c2 b8f8 f2d2 f8f1 g1f1 e5h2 d2g5,Stockfish 050822
1r4k1/3b2pp/4p3/2bpq3/3N4/2PB4/P4QPP/5RK1 w - -,d3b1,-497,40,d3b1 b8f8 f2d2 f8f1 g1f1 e5h2 d2g5,Stockfish 050822
1r4k1/3b2pp/4p3/2bpq3/3N4/2PB4/P4QPP/5RK1 w - -,a2a3,-590,40,a2a3 b8f8 f2c2 f8f1 g1f1 e5h2 c2b3,Stockfish 050822
8/1b5p/1p1rrkp1/p2p1p2/P2P3P/1R1B1N2/nP3PPK/3R4 w - -,f3e5,325,40,f3e5 a2b4 d3b5 e6e7 f2f4 e7c7 h4h5,Stockfish 050822
8/1b5p/1p1rrkp1/p2p1p2/P2P3P/1R1B1N2/nP3PPK/3R4 w - -,d3b5,217,40,d3b5 e6e4 b5d3 e4e7 f3e5 e7c7 d3b5,Stockfish 050822
8/1b5p/1p1rrkp1/p2p1p2/P2P3P/1R1B1N2/nP3PPK/3R4 w - -,f3g5,117,40,f3g5 e6e7 g5f3 a2b4 d3b5 e7e4 d1c1,Stockfish 050822
8/1b5p/1p1rrkp1/p2p1p2/P2P3P/1R1B1N2/nP3PPK/3R4 w - -,d1d2,102,40,d1d2 a2c1 b3a3 c1d3 a3d3 b7a6 d3c3,Stockfish 050822
8/1b5p/1p1rrkp1/p2p1p2/P2P3P/1R1B1N2/nP3PPK/3R4 w - -,d1f1,80,40,d1f1 a2b4 d3b5 b7c6 b3c3 e6e4 f1c1,Stockfish 050822
8/1b5p/1p1rrkp1/p2p1p2/P2P3P/1R1B1N2/nP3PPK/3R4 w - -,d1b1,80,40,d1b1 a2b4 d3b5 b7c6 b1c1 b4a2 c1a1,Stockfish 050822
8/1b5p/1p1rrkp1/p2p1p2/P2P3P/1R1B1N2/nP3PPK/3R4 w - -,b3a3,80,40,b3a3 a2b4 d3b5 e6e4 a3c3 b7c6 d1c1,Stockfish 050822
8/1b5p/1p1rrkp1/p2p1p2/P2P3P/1R1B1N2/nP3PPK/3R4 w - -,d1g1,80,40,d1g1 a2b4 d3b5 b7c6 g1c1 b4a2 c1a1,Stockfish 050822
8/1b5p/1p1rrkp1/p2p1p2/P2P3P/1R1B1N2/nP3PPK/3R4 w - -,d1a1,80,40,d1a1 a2b4 d3b5 b7c6 b3c3 e6e4 a1c1,Stockfish 050822
8/1b5p/1p1rrkp1/p2p1p2/P2P3P/1R1B1N2/nP3PPK/3R4 w - -,d1h1,80,40,d1h1 a2b4 d3b5 b7c6 h1c1 b4a2 c1a1,Stockfish 050822
4r2k/p1r1b1pp/1p1pqn2/4p3/1PP4B/P4B1P/4QPP1/2RR2K1 w - -,h4f6,311,40,h4f6 g7f6 f3d5 e6c8 e2h5 e8f8 c1c3,Stockfish 050822
4r2k/p1r1b1pp/1p1pqn2/4p3/1PP4B/P4B1P/4QPP1/2RR2K1 w - -,d1e1,162,40,d1e1 e8f8 e2d3 e6f7 e1d1 f7e6 f3e2,Stockfish 050822
4r2k/p1r1b1pp/1p1pqn2/4p3/1PP4B/P4B1P/4QPP1/2RR2K1 w - -,e2e3,131,40,e2e3 e6f7 e3b3 f7g6 d1e1 e8c8 h4g3,Stockfish 050822
4r2k/p1r1b1pp/1p1pqn2/4p3/1PP4B/P4B1P/4QPP1/2RR2K1 w - -,d1f1,127,40,d1f1 f6g8 h4g3 g8f6 e2e3 e6f7 f3e2,Stockfish 050822
4r2k/p1r1b1pp/1p1pqn2/4p3/1PP4B/P4B1P/4QPP1/2RR2K1 w - -,e2e1,124,40,e2e1 c7c4 h4f6 c4c1 f6g7 h8g7 d1c1,Stockfish 050822
4r2k/p1r1b1pp/1p1pqn2/4p3/1PP4B/P4B1P/4QPP1/2RR2K1 w - -,c1c2,117,40,c1c2 e5e4 d1d4 e7f8 f3g4 f6g4 h3g4,Stockfish 050822
4r2k/p1r1b1pp/1p1pqn2/4p3/1PP4B/P4B1P/4QPP1/2RR2K1 w - -,e2b2,114,40,e2b2 e5e4 f3e2 e4e3 f2e3 e6e3 h4f2,Stockfish 050822
4r2k/p1r1b1pp/1p1pqn2/4p3/1PP4B/P4B1P/4QPP1/2RR2K1 w - -,e2d2,98,40,e2d2 c7c4 f3d5 f6d5 c1c4 d5e3 c4c7,Stockfish 050822
4r2k/p1r1b1pp/1p1pqn2/4p3/1PP4B/P4B1P/4QPP1/2RR2K1 w - -,h4g3,82,40,h4g3 h7h6 c1c2 e8c8 e2f1 a7a5 b4a5,Stockfish 050822
4r2k/p1r1b1pp/1p1pqn2/4p3/1PP4B/P4B1P/4QPP1/2RR2K1 w - -,e2c2,82,40,e2c2 b6b5 h4f6 e6f6 c2d3 e8c8 f3d5,Stockfish 050822
4r3/2pq1pk1/1r4p1/p2pP1Np/1pnP4/2PQ3P/P3RPP1/4R1K1 w - -,f2f4,576,40,f2f4 b4c3 d3c3 d7f5 c3f3 b6b1 f3d5,Stockfish 050822
4r3/2pq1pk1/1r4p1/p2pP1Np/1pnP4/2PQ3P/P3RPP1/4R1K1 w - -,c3b4,453,40,c3b4 a5b4 e5e6 f7e6 f2f4 b6a6 d3b1,Stockfish 050822
4r3/2pq1pk1/1r4p1/p2pP1Np/1pnP4/2PQ3P/P3RPP1/4R1K1 w - -,e5e6,453,40,e5e6 f7e6 c3b4 a5b4 f2f4 b6a6 d3b1,Stockfish 050822
4r3/2pq1pk1/1r4p1/p2pP1Np/1pnP4/2PQ3P/P3RPP1/4R1K1 w - -,d3f3,364,40,d3f3 b4c3 e5e6 f7e6 f3c3 g7h6 c3g3,Stockfish 050822
4r3/2pq1pk1/1r4p1/p2pP1Np/1pnP4/2PQ3P/P3RPP1/4R1K1 w - -,d3g3,176,40,d3g3 b4c3 e5e6 d7d6 f2f4 c3c2 e2c2,Stockfish 050822
4r3/2pq1pk1/1r4p1/p2pP1Np/1pnP4/2PQ3P/P3RPP1/4R1K1 w - -,g2g3,66,40,g2g3 d7f5 d3f5 g6f5 c3b4 a5b4 g5f3,Stockfish 050822
4r3/2pq1pk1/1r4p1/p2pP1Np/1pnP4/2PQ3P/P3RPP1/4R1K1 w - -,g5f3,66,40,g5f3 d7f5 d3f5 g6f5 c3b4 a5b4 g2g3,Stockfish 050822
4r3/2pq1pk1/1r4p1/p2pP1Np/1pnP4/2PQ3P/P3RPP1/4R1K1 w - -,g1h2,48,40,g1h2 d7f5 d3f5 g6f5 c3b4 a5b4 h3h4,Stockfish 050822
4r3/2pq1pk1/1r4p1/p2pP1Np/1pnP4/2PQ3P/P3RPP1/4R1K1 w - -,h3h4,38,40,h3h4 d7g4 g2g3 b4b3 a2b3 b6b3 g1g2,Stockfish 050822
4r3/2pq1pk1/1r4p1/p2pP1Np/1pnP4/2PQ3P/P3RPP1/4R1K1 w - -,d3c2,19,40,d3c2 d7f5 c2f5 g6f5 c3b4 a5b4 e1b1,Stockfish 050822
1r3rk1/8/3p3p/p1qP2p1/R1b1P3/2Np1P2/1P1Q1RP1/6K1 w - -,c3d1,15,36,c3d1 b8b4 a4b4 a5b4 g1h1 c4b5 d1e3,Stockfish 15
1r3rk1/8/3p3p/p1qP2p1/R1b1P3/2Np1P2/1P1Q1RP1/6K1 w - -,a4a1,0,36,a4a1 b8b4 c3d1 a5a4 a1c1 f8b8 g1h2,Stockfish 15
1r3rk1/8/3p3p/p1qP2p1/R1b1P3/2Np1P2/1P1Q1RP1/6K1 w - -,e4e5,0,36,e4e5 d6e5 d5d6 b8b4 c3e4 c5b6 a4b4,Stockfish 15
1r3rk1/8/3p3p/p1qP2p1/R1b1P3/2Np1P2/1P1Q1RP1/6K1 w - -,a4a3,0,36,a4a3 g5g4 d2h6 b8b2 h6g6 g8h8 g6h5,Stockfish 15
1r3rk1/8/3p3p/p1qP2p1/R1b1P3/2Np1P2/1P1Q1RP1/6K1 w - -,g1h2,0,36,g1h2 c4b3 a4a1 c5d4 a1a5 b3c2 a5b5,Stockfish 15
1r3rk1/8/3p3p/p1qP2p1/R1b1P3/2Np1P2/1P1Q1RP1/6K1 w - -,g1h1,0,36,g1h1 c4b3 a4a1 c5d4 a1e1 b8b4 f3f4,Stockfish 15
1r3rk1/8/3p3p/p1qP2p1/R1b1P3/2Np1P2/1P1Q1RP1/6K1 w - -,c3b1,-19,36,c3b1 b8b4 b1c3 c4b3 a4a1 b3c2 a1e1,Stockfish 15
1r3rk1/8/3p3p/p1qP2p1/R1b1P3/2Np1P2/1P1Q1RP1/6K1 w - -,c3a2,-19,36,c3a2 f8f7 a4a5 c5b6 a5a4 c4a2 a4a2,Stockfish 15
1r3rk1/8/3p3p/p1qP2p1/R1b1P3/2Np1P2/1P1Q1RP1/6K1 w - -,d2e1,-38,36,d2e1 c4b3 a4a1 b8b7 e4e5 d6e5 c3e4,Stockfish 15
1r3rk1/8/3p3p/p1qP2p1/R1b1P3/2Np1P2/1P1Q1RP1/6K1 w - -,d2c1,-197,36,d2c1 c4b3 a4a1 a5a4 c1d2 b3c2 a1e1,Stockfish 15
3r1rk1/1pp2ppp/2np2q1/p4Q2/2B1PP2/7R/PPP2RPP/6K1 w - -,f5b5,246,40,f5b5 f8e8 h3e3 d8b8 c2c3 g8h8 f2f3,Stockfish 050822
3r1rk1/1pp2ppp/2np2q1/p4Q2/2B1PP2/7R/PPP2RPP/6K1 w - -,f5d5,198,40,f5d5 d8e8 h3e3 g6e6 d5b5 e6c8 b5h5,Stockfish 050822
3r1rk1/1pp2ppp/2np2q1/p4Q2/2B1PP2/7R/PPP2RPP/6K1 w - -,f5g6,81,40,f5g6 h7g6 h3c3 d8c8 c4d5 f8e8 f2d2,Stockfish 050822
3r1rk1/1pp2ppp/2np2q1/p4Q2/2B1PP2/7R/PPP2RPP/6K1 w - -,h3b3,44,40,h3b3 g6f5 e4f5 b7b6 f2d2 c6e7 g2g4,Stockfish 050822
3r1rk1/1pp2ppp/2np2q1/p4Q2/2B1PP2/7R/PPP2RPP/6K1 w - -,h3h5,38,40,h3h5 g6f5 h5f5 d8e8 c4d3 e8e7 f5d5,Stockfish 050822
3r1rk1/1pp2ppp/2np2q1/p4Q2/2B1PP2/7R/PPP2RPP/6K1 w - -,a2a3,33,40,a2a3 g6f5 e4f5 d6d5 c4d3 f7f6 d3f1,Stockfish 050822
3r1rk1/1pp2ppp/2np2q1/p4Q2/2B1PP2/7R/PPP2RPP/6K1 w - -,f2d2,29,40,f2d2 g6f5 e4f5 f8e8 c4d3 c6b4 d3f1,Stockfish 050822
3r1rk1/1pp2ppp/2np2q1/p4Q2/2B1PP2/7R/PPP2RPP/6K1 w - -,f5h5,23,40,f5h5 g6h5 h3h5 f8e8 c4d3 d8a8 a2a3,Stockfish 050822
3r1rk1/1pp2ppp/2np2q1/p4Q2/2B1PP2/7R/PPP2RPP/6K1 w - -,h3a3,20,40,h3a3 g6f5 e4f5 f8e8 c4b5 e8e4 g2g4,Stockfish 050822
3r1rk1/1pp2ppp/2np2q1/p4Q2/2B1PP2/7R/PPP2RPP/6K1 w - -,c4f1,10,40,c4f1 g6f5 e4f5 f8e8 f5f6 d6d5 f6g7,Stockfish 050822
2r1qr1k/1p4bp/p1n1bpp1/4p3/B3P3/4QN1P/PP1B1PP1/R1R3K1 w - -,c1c2,109,40,c1c2 e8d7 a1c1 e6a2 e3b6 a2f7 a4c6,Stockfish 050822
2r1qr1k/1p4bp/p1n1bpp1/4p3/B3P3/4QN1P/PP1B1PP1/R1R3K1 w - -,e3b6,74,40,e3b6 f8f7 d2e3 g7f8 c1c2 e8d8 b6d8,Stockfish 050822
2r1qr1k/1p4bp/p1n1bpp1/4p3/B3P3/4QN1P/PP1B1PP1/R1R3K1 w - -,c1c5,71,40,c1c5 b7b5 a4b3 e6b3 a2b3 c6d4 c5c8,Stockfish 050822
2r1qr1k/1p4bp/p1n1bpp1/4p3/B3P3/4QN1P/PP1B1PP1/R1R3K1 w - -,c1c3,56,40,c1c3 e8d7 a1c1 e6a2 a4c6 c8c6 c3c6,Stockfish 050822
2r1qr1k/1p4bp/p1n1bpp1/4p3/B3P3/4QN1P/PP1B1PP1/R1R3K1 w - -,d2e1,51,40,d2e1 e8d7 e1b4 f8e8 e3b6 g7h6 c1d1,Stockfish 050822
2r1qr1k/1p4bp/p1n1bpp1/4p3/B3P3/4QN1P/PP1B1PP1/R1R3K1 w - -,f3e1,50,40,f3e1 b7b5 a4b3 c6d4 c1c8 e8c8 a1c1,Stockfish 050822
2r1qr1k/1p4bp/p1n1bpp1/4p3/B3P3/4QN1P/PP1B1PP1/R1R3K1 w - -,h3h4,41,40,h3h4 h7h5 e3b6 e8d7 d2e3 d7c7 b6c7,Stockfish 050822
2r1qr1k/1p4bp/p1n1bpp1/4p3/B3P3/4QN1P/PP1B1PP1/R1R3K1 w - -,e3e2,40,40,e3e2 f8f7 e2e3 e8d7 c1d1 d7e8 e3b6,Stockfish 050822
2r1qr1k/1p4bp/p1n1bpp1/4p3/B3P3/4QN1P/PP1B1PP1/R1R3K1 w - -,g1h2,38,40,g1h2 e8d7 c1d1 d7c7 a1c1 f8d8 a4b3,Stockfish 050822
2r1qr1k/1p4bp/p1n1bpp1/4p3/B3P3/4QN1P/PP1B1PP1/R1R3K1 w - -,a2a3,33,40,a2a3 f8f7 c1c2 b7b5 a4b3 c6d4 c2c8,Stockfish 050822
3q3k/5p1p/3rp3/p4p1P/PbP2Q2/1p3N2/1P2KPP1/1R6 b - -,h8g8,30,46,h8g8,Stockfish 15
3q3k/5p1p/3rp3/p4p1P/PbP2Q2/1p3N2/1P2KPP1/1R6 b - -,d8f6,0,46,d8f6 e2f1 h7h6 f4e3 h8g7 e3b3 e6e5,Stockfish 15
3q3k/5p1p/3rp3/p4p1P/PbP2Q2/1p3N2/1P2KPP1/1R6 b - -,f7f6,0,46,f7f6 h5h6 d6d7 b1c1 e6e5 f4f5 e5e4,Stockfish 15
3q3k/5p1p/3rp3/p4p1P/PbP2Q2/1p3N2/1P2KPP1/1R6 b - -,h7h6,0,46,h7h6 f4h6 h8g8 h6f4 e6e5 f4f5 e5e4,Stockfish 15
3q3k/5p1p/3rp3/p4p1P/PbP2Q2/1p3N2/1P2KPP1/1R6 b - -,d8c8,0,46,d8c8 b1d1 e6e5 f3e5 c8e6 f4e3 f5f4,Stockfish 15
3q3k/5p1p/3rp3/p4p1P/PbP2Q2/1p3N2/1P2KPP1/1R6 b - -,d8c7,0,46,d8c7 f3e5 h7h6 e5d3 c7d8 d3b4 a5b4,Stockfish 15
3q3k/5p1p/3rp3/p4p1P/PbP2Q2/1p3N2/1P2KPP1/1R6 b - -,d8d7,0,46,d8d7 h5h6 f7f6 c4c5 b4c5 b1c1 e6e5,Stockfish 15
3q3k/5p1p/3rp3/p4p1P/PbP2Q2/1p3N2/1P2KPP1/1R6 b - -,h8g7,0,46,h8g7 c4c5 d6d5 c5c6 b4d6 f4e3 d8c8,Stockfish 15
3q3k/5p1p/3rp3/p4p1P/PbP2Q2/1p3N2/1P2KPP1/1R6 b - -,d6d7,-8,46,d6d7 c4c5 d8c7 f4c7 d7c7 b1c1 c7c5,Stockfish 15
3q3k/5p1p/3rp3/p4p1P/PbP2Q2/1p3N2/1P2KPP1/1R6 b - -,d8f8,-49,46,d8f8 h5h6 f7f6 b1d1 d6d1 e2d1 e6e5,Stockfish 15
rbbrqnk1/pp3pp1/2p2n1p/5N2/3P1P2/1BN4P/PPQB2P1/R4RK1 w - -,a1e1,404,40,a1e1 e8d7 g2g4 b8d6 c2d3 a7a5 f1f2,Stockfish 050822
rbbrqnk1/pp3pp1/2p2n1p/5N2/3P1P2/1BN4P/PPQB2P1/R4RK1 w - -,f1e1,275,40,f1e1 e8d7 g2g4 b8d6 e1e2 a7a5 a1e1,Stockfish 050822
rbbrqnk1/pp3pp1/2p2n1p/5N2/3P1P2/1BN4P/PPQB2P1/R4RK1 w - -,d4d5,0,40,d4d5 a7a5 f1e1 b8a7 g1f1 e8d7 f5e7,Stockfish 050822
rbbrqnk1/pp3pp1/2p2n1p/5N2/3P1P2/1BN4P/PPQB2P1/R4RK1 w - -,f5g7,0,40,f5g7 g8g7 a1e1 e8d7 c3e4 f6e4 c2e4,Stockfish 050822
rbbrqnk1/pp3pp1/2p2n1p/5N2/3P1P2/1BN4P/PPQB2P1/R4RK1 w - -,g2g4,-15,40,g2g4 c8f5 c2f5 d8d4 a1e1 e8d7 f5d7,Stockfish 050822
rbbrqnk1/pp3pp1/2p2n1p/5N2/3P1P2/1BN4P/PPQB2P1/R4RK1 w - -,f5g3,-25,40,f5g3 c8e6 a1e1 e8d7 c3e4 f6e4 e1e4,Stockfish 050822
rbbrqnk1/pp3pp1/2p2n1p/5N2/3P1P2/1BN4P/PPQB2P1/R4RK1 w - -,a1d1,-34,40,a1d1 c8f5 c2f5 d8d4 f1e1 e8d7 f5d7,Stockfish 050822
rbbrqnk1/pp3pp1/2p2n1p/5N2/3P1P2/1BN4P/PPQB2P1/R4RK1 w - -,f5h4,-42,40,f5h4 c8e6 a1e1 e8d7 h4f3 e6b3 c2b3,Stockfish 050822
rbbrqnk1/pp3pp1/2p2n1p/5N2/3P1P2/1BN4P/PPQB2P1/R4RK1 w - -,g1h1,-63,40,g1h1 c8f5 c2f5 d8d4 f5c2 a7a5 a1e1,Stockfish 050822
rbbrqnk1/pp3pp1/2p2n1p/5N2/3P1P2/1BN4P/PPQB2P1/R4RK1 w - -,g2g3,-64,40,g2g3 c8f5 c2f5 d8d4 f1e1 e8d7 f5d7,Stockfish 050822
3n4/p2rk3/3pq1p1/pR3p1p/2PQ1P2/1PB4P/6PK/8 w - -,d4h8,959,40,d4h8 d8c6 b5d5 d7c7 d5d1 e6f7 h2h1,Stockfish 050822
3n4/p2rk3/3pq1p1/pR3p1p/2PQ1P2/1PB4P/6PK/8 w - -,c3b2,612,40,c3b2 d8c6 d4h8 e6f7 h8c8 c6d8 b2a3,Stockfish 050822
3n4/p2rk3/3pq1p1/pR3p1p/2PQ1P2/1PB4P/6PK/8 w - -,b5d5,564,40,b5d5 e6f7 d4f2 d8e6 c3a5 f7f8 a5b4,Stockfish 050822
3n4/p2rk3/3pq1p1/pR3p1p/2PQ1P2/1PB4P/6PK/8 w - -,h2h1,561,40,h2h1 d8b7 d4h8 e6f7 c3d4 f7f8 h8h7,Stockfish 050822
3n4/p2rk3/3pq1p1/pR3p1p/2PQ1P2/1PB4P/6PK/8 w - -,b5b8,429,40,b5b8 d8c6 d4g7 e6f7 b8g8 f7g7 g8g7,Stockfish 050822
3n4/p2rk3/3pq1p1/pR3p1p/2PQ1P2/1PB4P/6PK/8 w - -,d4g7,416,40,d4g7 e6f7 g7d4 d8c6 d4e3 f7e6 e3f3,Stockfish 050822
3n4/p2rk3/3pq1p1/pR3p1p/2PQ1P2/1PB4P/6PK/8 w - -,c3a5,414,40,c3a5 d8c6 d4g7 e6f7 g7b2 c6a5 b5a5,Stockfish 050822
3n4/p2rk3/3pq1p1/pR3p1p/2PQ1P2/1PB4P/6PK/8 w - -,d4f2,411,40,d4f2 d8c6 f2f3 e6e4 f3g3 e4e6 g3g5,Stockfish 050822
3n4/p2rk3/3pq1p1/pR3p1p/2PQ1P2/1PB4P/6PK/8 w - -,c3a1,408,40,c3a1 d8c6 d4h8 e6f7 a1b2 f7f8 h8c3,Stockfish 050822
3n4/p2rk3/3pq1p1/pR3p1p/2PQ1P2/1PB4P/6PK/8 w - -,c3d2,345,40,c3d2 e6f6 d4e3 f6e6 e3c3 e6f6 c3g3,Stockfish 050822
